site_no,site_tp_cd
09427500,LK
09427520,ST
09429000,ST-CA
09429100,ST
09429130,ST-DCH
09429155,ST-CA
09429170,ST
09429180,ST
09429190,ST
09429200,ST-CA
09429220,ST-DCH
09429230,ST
09429490,ST
09429500,ST
09429600,ST
09521100,ST
09522990,ST-CA
09523000,ST-CA
09523200,ST-CA
09524000,ST-CA
09525000,ST-CA
09527000,ST
09527500,ST-CA
09530000,ST
09530500,ST
10251300,ST
10251330,ST
10254005,LK
10254050,ST
10254730,ST
10254970,ST
10255550,ST
10255810,ST
10256000,ST
10256500,ST
10257720,ST
10259540,ST
10260500,ST
10260950,ST
10261500,ST
10262000,ST
10262500,ST
10263000,ST
10263500,ST
10265100,ST
10265147,ST
10265150,ST
10287300,ST
10289000,ST
10289500,ST
10290500,ST
10291500,ST
10293000,ST
10296000,ST
10296500,ST
10308200,ST
10310000,ST
103366092,ST
10336610,ST
10336645,ST
10336660,ST
10336674,ST
10336676,ST
10336780,ST
10336790,ST
10337000,LK
10337500,ST
10338000,ST
10338700,ST
10340500,ST
10343500,ST
10344500,ST
10344505,ST
10346000,ST
11014000,ST
11015000,ST
11016200,ST
11022200,ST
11022480,ST
11023000,ST
11023340,ST
11027000,ST
11042000,ST
11042400,ST
11042430,ST
11042510,LK
11043000,ST
11044000,ST
11044250,ST
11044300,ST
11046000,ST
11046050,ST
11046100,ST
11046530,ST
11047300,ST
11048175,ST
11048600,ST
11051499,ST
11051500,ST
11051502,ST
11057500,ST
11058500,ST
11059300,ST
11060400,ST
11063510,ST
11063680,ST
11066460,ST
11069500,ST
11070270,ST
11070500,ST
11072100,ST
11073360,ST
11073495,ST
11074000,ST
11077500,ST
11078000,ST
11092450,ST
11098000,ST
11109000,ST
11109550,ST
11109600,ST
11109800,ST
11111500,ST
11113000,ST
11113500,ST
11114495,ST
11118500,ST
11119500,ST
11119745,ST
11119750,ST
11120000,ST
11120500,ST
11121900,ST
11123500,ST
11124500,ST
11125600,ST
11125605,ST
11126000,ST
11126400,ST
11128250,ST
11128500,ST
11129800,ST
11132500,ST
11133000,ST
11135800,ST
11136040,ST
11136100,ST
11136500,ST
11136600,ST
11136800,ST
11137900,ST
11138500,ST
11140000,ST
11140585,ST
11141050,ST
11141280,ST
11143000,ST
11143250,ST
11147070,ST
11147098,ST
11147500,ST
11148900,ST
11149900,ST
11150500,ST
11151300,ST
11151700,ST
11151870,ST
11152000,ST
11152300,ST
11152500,ST
11152650,ST-DCH
11152850,ST
11152870,ST
11152880,ST
11152890,ST
11152900,ST
11153000,ST
11153650,ST
11156500,ST
11157500,ST
11159000,ST
11159200,ST
11159500,ST
11159690,ST
11160000,ST
11160500,ST
11162500,ST
11162540,ST
11162570,ST
11162620,ST
11162630,ST
11162753,ST
11162765,ES
11164500,ST
11169025,ST
11169500,ST
11169750,ES
11169800,ST
11169860,ST
11170000,ST
11170450,ST
11171500,ST
11172175,ST
11172945,ST
11172955,ST
11173200,ST
11173500,ST
11173510,ST
11173575,ST
11174000,ST
11174600,ST-CA
11176400,ST
11176500,ST
11176900,ST
11179000,ST
11179100,ST
11180825,ST
11180900,ST
11180960,ST
11181000,ST
11181008,ST
11181040,ST
11182500,ST
