site_no,datetime,00065,00060,00010,00095,00300,00400,72255,63160,63680,00301,32316
09429490,2024-05-01 07:00:00+00:00,,,22.8,1130.0,7.1,8.1,,,,,
09429490,2024-05-01 07:15:00+00:00,,,22.8,1130.0,7.1,8.1,,,,,
09429490,2024-05-01 07:30:00+00:00,,,22.8,1130.0,7.0,8.1,,,,,
09429490,2024-05-01 07:45:00+00:00,,,22.7,1130.0,7.2,8.1,,,,,
09429490,2024-05-01 08:00:00+00:00,,,22.7,1130.0,7.2,8.1,,,,,
09429490,2024-05-01 08:15:00+00:00,,,22.7,1130.0,7.1,8.1,,,,,
09429490,2024-05-01 08:30:00+00:00,,,22.7,1130.0,7.2,8.1,,,,,
09429490,2024-05-01 08:45:00+00:00,,,22.7,1130.0,7.1,8.1,,,,,
09429490,2024-05-01 09:00:00+00:00,,,22.7,1130.0,7.2,8.1,,,,,
09429490,2024-05-01 09:15:00+00:00,,,22.6,1130.0,7.1,8.1,,,,,
09429490,2024-05-01 09:30:00+00:00,,,22.6,1130.0,7.2,8.1,,,,,
09429490,2024-05-01 09:45:00+00:00,,,22.6,1130.0,7.1,8.1,,,,,
09429490,2024-05-01 10:00:00+00:00,,,22.6,1130.0,7.2,8.1,,,,,
09429490,2024-05-01 10:15:00+00:00,,,22.6,1120.0,7.2,8.1,,,,,
09429490,2024-05-01 10:30:00+00:00,,,22.6,1130.0,7.2,8.1,,,,,
09429490,2024-05-01 10:45:00+00:00,,,22.6,1130.0,7.2,8.1,,,,,
09429490,2024-05-01 11:00:00+00:00,,,22.7,1130.0,7.0,8.1,,,,,
09429490,2024-05-01 11:15:00+00:00,,,22.7,1130.0,7.2,8.1,,,,,
09429490,2024-05-01 11:30:00+00:00,,,22.7,1120.0,7.2,8.1,,,,,
09429490,2024-05-01 11:45:00+00:00,,,22.7,1120.0,7.1,8.1,,,,,
09429490,2024-05-01 12:00:00+00:00,,,22.7,1120.0,7.1,8.1,,,,,
09429490,2024-05-01 12:15:00+00:00,,,22.7,1120.0,7.1,8.1,,,,,
09429490,2024-05-01 12:30:00+00:00,,,22.7,1120.0,7.1,8.1,,,,,
09429490,2024-05-01 12:45:00+00:00,,,22.7,1120.0,7.1,8.1,,,,,
09429490,2024-05-01 13:00:00+00:00,,,22.7,1120.0,7.0,8.1,,,,,
09429490,2024-05-01 13:15:00+00:00,,,22.6,1120.0,7.1,8.1,,,,,
09429490,2024-05-01 13:30:00+00:00,,,22.6,1120.0,7.1,8.1,,,,,
09429490,2024-05-01 13:45:00+00:00,,,22.7,1120.0,7.0,8.1,,,,,
09429490,2024-05-01 14:00:00+00:00,,,22.7,1120.0,7.0,8.1,,,,,
09429490,2024-05-01 14:15:00+00:00,,,22.7,1120.0,6.9,8.1,,,,,
09429490,2024-05-01 14:30:00+00:00,,,22.7,1120.0,7.1,8.1,,,,,
09429490,2024-05-01 14:45:00+00:00,,,22.7,1120.0,6.8,8.1,,,,,
09429490,2024-05-01 15:00:00+00:00,,,22.7,1120.0,7.1,8.1,,,,,
09429490,2024-05-01 15:15:00+00:00,,,22.7,1120.0,7.0,8.1,,,,,
09429490,2024-05-01 15:30:00+00:00,,,22.7,1120.0,7.0,8.1,,,,,
