,parm_cd,group,parm_nm,epa_equivalence,result_statistical_basis,result_time_basis,result_weight_basis,result_particle_size_basis,result_sample_fraction,result_temperature_basis,CASRN,SRSName,parm_unit
0,00001,Information,"Location in cross section, distance from right bank looking upstream, feet",Agree,,,,,,, , ,ft
1,00002,Information,"Location in cross section, distance from right bank looking upstream, percent",Agree,,,,,,, , ,%
2,00003,Information,"Sampling depth, feet",Agree,,,,,,, , ,ft
3,00004,Physical,"Stream width, feet",Agree,,,,,,, ,"Instream features, est. stream width",ft
4,00005,Information,"Location in cross section, fraction of total depth, percent",Agree,,,,,Total,, , ,%
5,00008,Information,Sample accounting number,Agree,,,,,,, , ,nu
6,00009,Information,"Location in cross section, distance from left bank looking downstream, feet",Agree,,,,,,, , ,ft
7,00010,Physical,"Temperature, water, degrees Celsius",Agree,,,,,,, ,"Temperature, water",deg C
8,00011,Physical,"Temperature, water, degrees Fahrenheit",Agree,,,,,,, ,"Temperature, water, deg F",deg F
9,00012,Physical,"Evaporation temperature, 48 inch pan, degrees Celsius",Agree,,,,,,, , ,deg C
10,00013,Physical,"Evaporation temperature, 24 inch pan, degrees Celsius",Agree,,,,,,, , ,deg C
11,00014,Physical,"Wet bulb temperature, degrees Celsius",Agree,,,,,,, ,"Temperature, wet bulb",deg C
12,00020,Physical,"Temperature, air, degrees Celsius",Agree,,,,,,, ,"Temperature, air, deg C",deg C
13,00021,Physical,"Temperature, air, degrees Fahrenheit",Agree,,,,,,, ,"Temperature, air, deg F",deg F
14,00022,Information,"Duration of exposure, sample or test, days",Agree,,,,,,, , ,days
15,00023,Information,"Sample weight, pounds",Agree,,,,,,, , ,lb
16,00024,Information,"Sample length, inches",Agree,,,,,,, , ,in
17,00025,Physical,"Barometric pressure, millimeters of mercury",Agree,,,,,,, ,Barometric pressure,mm/Hg
18,00028,Information,"Agency analyzing sample, code",Agree,,,,,,, , ,code
19,00029,Information,Project number,Not agree,,,,,,, , ,nu
20,00030,Physical,"Incident solar radiation intensity, calories per square centimeter per day",Agree,,,,,,, ,"Solar irradiation, local",cal/cm2/d
21,00031,Physical,"Incident light remaining at depth, percent",Agree,,,,,,, ,Light attenuation at measurement depth,%
22,00032,Physical,"Cloud cover, percent",Agree,,,,,,, ,Cloud cover (percent),%
23,00034,Physical,"Depth to 1 percent of surface light, feet",Agree,,,,,,, ,"Light attenuation, depth at 99%",ft
24,00035,Physical,"Wind speed, miles per hour",Agree,,,,,,, ,Wind velocity,mph
25,00036,Physical,"Wind direction, degrees clockwise from true north",Agree,,,,,,, ,Wind direction,Deg
26,00041,Information,"Weather, World Meteorological Organization (WMO) code",Not agree,,,,,,, , ,WMO code
27,00042,Information,"Altitude, feet above mean sea level",Agree,,,,,,, ,Altitude,ft abv MSL
28,00045,Physical,"Precipitation, total, inches",Agree,,,,,,, ,Precipitation,in
29,00046,Physical,"Precipitation, total, inches per week",Agree,,,,,,, ,Precipitation,in/week
30,00047,Physical,"Total partial pressure of dissolved gases, water, unfiltered, millimeters of mercury",Agree,,,,,Dissolved,, ,Partial pressure of dissolved gases,mm/Hg
31,00048,Physical,"Total partial pressure of dissolved gases, water, unfiltered, percent of saturation",Agree,,,,,Dissolved,, ,Partial pressure of dissolved gases,%
32,00049,Physical,"Surface area, square miles",Agree,,,,,,, , ,mi2
33,00050,Physical,"Evaporation total, inches per day",Agree,,,,,,, ,Evaporation,inches/day
34,00051,Physical,"Surface area, square feet",Agree,,,,,,, , ,ft2
35,00052,Physical,"Relative humidity, percent",Agree,,,,,,, ,Relative humidity,%
36,00053,Physical,"Surface area, acres",Agree,,,,,,, , ,ac
37,00054,Information,"Reservoir storage, acre-feet",Agree,,,,,,, ,Reservoir storage,ac-ft
38,00055,Physical,"Stream velocity, feet per second",Agree,,,,,,, ,Stream velocity,ft/sec
39,00056,Physical,"Flow rate of well, gallons per day",Not checked,,,,,,, , ,gal/day
40,00058,Physical,"Flow rate of well, gallons per minute",Not agree,,,,,,, , ,gal/min
41,00059,Physical,"Flow rate, instantaneous, gallons per minute",Agree,,,,,,, ,"Flow rate, instantaneous",gal/min
42,00060,Physical,"Discharge, cubic feet per second",Not checked,Mean,1 Day,,,,, ,"Stream flow, mean. daily",ft3/s
43,00061,Physical,"Discharge, instantaneous, cubic feet per second",Agree,,,,,,, ,"Stream flow, instantaneous",ft3/s
44,00062,Physical,"Elevation of reservoir water surface above datum, feet",Agree,,,,,,, , ,ft
45,00063,Information,"Number of sampling points, count",Agree,,,,,,, , ,count
46,00064,Physical,"Mean depth of stream, feet",Agree,Mean,,,,,, ,Depth,ft
47,00065,Physical,"Gage height, feet",Agree,,,,,,, ,"Height, gage",ft
48,00067,Physical,"Tide stage, code",Agree,,,,,,, ,Tide stage,code
49,00070,Physical,"Turbidity, water, unfiltered, Jackson Turbidity Units",Agree,,,,,Total,, ,Turbidity,JTU
50,00072,Physical,"Stream stage, meters",Agree,,,,,,, ,Stream stage,m
51,00074,Physical,"Light transmission, 1 meter path length, water, unfiltered, percent",Agree,,,,,Total,, , ,%
52,00075,Physical,"Turbidity, water, unfiltered, Hellige turbidimeter, milligrams per liter as silicon dioxide",Agree,,,,,Total,, ,"Turbidity, hellige",mg/l SiO2
53,00076,Physical,"Turbidity, water, unfiltered, nephelometric turbidity units",Not agree,,,,,Total,, ,Turbidity,NTU
